mkn_segment_sentence,eng_segment_sentence,start,wav_files,audio_segment_path
,,,audio/audio_1.wav,
tadi kaka nonton ini Go.Spot ko sonde?,did you watch go spot this morning?,0:00:02,audio/audio_1.wav,
"ih, sonde.",no.,0:00:04,audio/audio_1.wav,
kotong pung listrik di sana mati terus.,our electricity was always off.,0:00:05,audio/audio_1.wav,
sumpah ni.,wow.,0:00:07,audio/audio_1.wav,
Oesapa kenapa tu...,why is in Oesapa...,0:00:07,audio/audio_1.wav,
ko listrik su mati terus.,the electricity always off?,0:00:08,audio/audio_1.wav,
e be nonton.,hmm I watched (tv),0:00:09,audio/audio_1.wav,
awih.,oh.,0:00:10,audio/audio_1.wav,
ada ini.,it is said.,0:00:11,audio/audio_1.wav,
bilang ini.,that.,0:00:12,audio/audio_1.wav,
Slank ada kena ni...,Slank was...,0:00:13,audio/audio_1.wav,
apa ini dari anggota dewan dong a?,is this by the legislatives?,0:00:15,audio/audio_1.wav,
ho e ko abis dia pung.,"yes, that’s beacuse.",0:00:17,audio/audio_1.wav,
lirik lagu tu kan.,their song’s lyrics.,0:00:18,audio/audio_1.wav,
menyudutkan anggota dewan to.,make the parlements.,0:00:20,audio/audio_1.wav,
xx tapi tau lai.,but I don’t know.,0:00:20,audio/audio_1.wav,
ko abis.,because.,0:00:22,audio/audio_1.wav,
anggota dewan selama ini tidor ko?,did the parlements sleep along the day?,0:00:24,audio/audio_1.wav,
ko abis.,because.,0:00:25,audio/audio_1.wav,
su begini lama ni.,this has been too long.,0:00:26,audio/audio_1.wav,
itu lagu su dari beberapa taon lalu xx.,that song has been composed several years ago.,0:00:27,audio/audio_1.wav,
ih be son suka anggota dewan dong.,hmm I don’t like the parlements.,0:00:29,audio/audio_1.wav,
talalu ba’iu mati.,they are realy behave.,0:00:30,audio/audio_1.wav,
model ke apa ko.,(they are) like ...,0:00:32,audio/audio_1.wav,
xx.,xx,0:00:32,audio/audio_1.wav,
sonde tau ju o.,I don’t know.,0:00:33,audio/audio_1.wav,
ko abis.,because.,0:00:33,audio/audio_1.wav,
klo dong tersinggung berarti dong bikin ju a?,"if they are offended, they do it too, aren’t they?",0:00:35,audio/audio_1.wav,
